Mode XML Parameters
ACO
maxNumIterations	35
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	15
GA
geneType	Simple
maxNumIterations	1
eliteNumber	0
mutationRate	0
crossoverRate	0
EVA
acoImportance	1
agImportance	0
Maze	dimension	col	#	#ok	#no	avg ok
maze60_5_5.mz	60	5	5	80	20	4.9625
maze60_5_6.mz	60	5	6	100	0	1.02
maze60_5_7.mz	60	5	7	55	45	7.618181818181818
maze60_5_8.mz	60	5	8	68	32	6.294117647058823
maze60_5_9.mz	60	5	9	87	13	2.3793103448275863
maze60_10_0.mz	60	10	0	83	17	4.951807228915663
maze60_10_1.mz	60	10	1	75	25	7.6
maze60_10_2.mz	60	10	2	87	13	4.471264367816092
maze60_10_3.mz	60	10	3	74	26	6.472972972972973
maze60_10_4.mz	60	10	4	97	3	1.3917525773195876
maze60_10_5.mz	60	10	5	60	40	6.733333333333333
maze60_10_6.mz	60	10	6	64	36	6.21875
maze60_10_7.mz	60	10	7	81	19	3.0
maze60_10_8.mz	60	10	8	70	30	9.085714285714285
maze60_10_9.mz	60	10	9	77	23	4.9480519480519485
maze60_15_0.mz	60	15	0	79	21	5.936708860759493
maze60_15_1.mz	60	15	1	55	45	8.6
maze60_15_2.mz	60	15	2	88	12	3.0795454545454546
maze60_15_3.mz	60	15	3	93	7	1.2258064516129032
maze60_15_4.mz	60	15	4	92	8	2.9130434782608696
maze60_15_5.mz	60	15	5	45	55	11.2
maze60_15_6.mz	60	15	6	56	44	8.928571428571429
maze60_15_7.mz	60	15	7	98	2	1.2346938775510203
maze60_15_8.mz	60	15	8	67	33	5.880597014925373
maze60_15_9.mz	60	15	9	58	42	8.775862068965518
maze60_20_0.mz	60	20	0	99	1	1.2323232323232323
maze60_20_1.mz	60	20	1	80	20	5.75
maze60_20_2.mz	60	20	2	47	53	10.02127659574468
maze60_20_3.mz	60	20	3	96	4	2.21875
maze60_20_4.mz	60	20	4	63	37	6.9523809523809526
maze60_20_5.mz	60	20	5	82	18	4.951219512195122
maze60_20_6.mz	60	20	6	41	59	8.878048780487806
maze60_20_7.mz	60	20	7	70	30	5.585714285714285
maze60_20_8.mz	60	20	8	43	57	11.232558139534884
maze60_20_9.mz	60	20	9	68	32	7.5
maze70_5_0.mz	70	5	0	74	26	5.3108108108108105
maze70_5_1.mz	70	5	1	77	23	6.428571428571429
maze70_5_2.mz	70	5	2	84	16	4.321428571428571
maze70_5_3.mz	70	5	3	76	24	7.7631578947368425
maze70_5_4.mz	70	5	4	89	11	3.730337078651685
maze70_5_5.mz	70	5	5	45	55	8.266666666666667
maze70_5_6.mz	70	5	6	100	0	1.2
maze70_5_7.mz	70	5	7	69	31	6.449275362318841
maze70_5_8.mz	70	5	8	66	34	7.2272727272727275
maze70_5_9.mz	70	5	9	21	79	12.285714285714286
maze70_10_0.mz	70	10	0	76	24	7.526315789473684
maze70_10_1.mz	70	10	1	88	12	3.272727272727273
maze70_10_2.mz	70	10	2	75	25	5.1466666666666665
maze70_10_3.mz	70	10	3	91	9	2.021978021978022
maze70_10_4.mz	70	10	4	56	44	9.607142857142858
maze70_10_5.mz	70	10	5	80	20	6.2375
