Mode XML Parameters
ACO
maxNumIterations	50
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	15
GA
geneType	LSystem
maxNumIterations	35
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.5
agImportance	0.5
Maze	dimension	col	#	#ok	#no	avg ok
maze60_10_5.mz	60	10	5	98	2	5.346938775510204
maze60_10_6.mz	60	10	6	94	6	7.372340425531915
maze60_10_7.mz	60	10	7	99	1	3.242424242424242
maze60_10_8.mz	60	10	8	94	6	7.75531914893617
maze60_10_9.mz	60	10	9	100	0	4.72
maze60_15_0.mz	60	15	0	99	1	3.01010101010101
maze60_15_1.mz	60	15	1	76	24	12.644736842105264
maze60_15_2.mz	60	15	2	100	0	1.69
maze60_15_3.mz	60	15	3	100	0	0.2
maze60_15_4.mz	60	15	4	100	0	1.04
maze60_15_5.mz	60	15	5	80	20	11.5625
maze60_15_6.mz	60	15	6	74	26	12.108108108108109
maze60_15_7.mz	60	15	7	100	0	0.35
maze60_15_8.mz	60	15	8	98	2	3.5306122448979593
maze60_15_9.mz	60	15	9	93	7	9.666666666666666
maze60_20_0.mz	60	20	0	100	0	0.68
maze60_20_1.mz	60	20	1	99	1	5.242424242424242
maze60_20_2.mz	60	20	2	80	20	10.5875
maze60_20_3.mz	60	20	3	100	0	1.73
maze60_20_4.mz	60	20	4	100	0	2.55
maze60_20_5.mz	60	20	5	99	1	4.606060606060606
maze60_20_6.mz	60	20	6	77	23	14.337662337662337
maze60_20_7.mz	60	20	7	98	2	4.683673469387755
maze60_20_8.mz	60	20	8	99	1	4.818181818181818
maze60_20_9.mz	60	20	9	96	4	6.46875
maze70_5_0.mz	70	5	0	97	3	4.216494845360825
maze70_5_1.mz	70	5	1	100	0	2.93
maze70_5_2.mz	70	5	2	100	0	1.2
maze70_5_3.mz	70	5	3	97	3	6.360824742268041
maze70_5_4.mz	70	5	4	99	1	2.676767676767677
maze70_5_5.mz	70	5	5	95	5	8.010526315789473
maze70_5_6.mz	70	5	6	100	0	0.27
maze70_5_7.mz	70	5	7	94	6	6.25531914893617
maze70_5_8.mz	70	5	8	96	4	7.177083333333333
maze70_5_9.mz	70	5	9	77	23	14.285714285714286
maze70_10_0.mz	70	10	0	93	7	7.32258064516129
maze70_10_1.mz	70	10	1	99	1	1.303030303030303
maze70_10_2.mz	70	10	2	99	1	6.040404040404041
maze70_10_3.mz	70	10	3	100	0	1.35
maze70_10_4.mz	70	10	4	89	11	10.191011235955056
maze70_10_5.mz	70	10	5	100	0	2.8
maze70_10_6.mz	70	10	6	100	0	0.06
maze70_10_7.mz	70	10	7	100	0	0.48
maze70_10_8.mz	70	10	8	100	0	1.38
maze70_10_9.mz	70	10	9	98	2	5.316326530612245
maze80_5_0.mz	80	5	0	87	13	7.896551724137931
maze80_5_1.mz	80	5	1	100	0	3.59
maze80_5_2.mz	80	5	2	89	11	6.292134831460674
maze80_5_3.mz	80	5	3	86	14	13.465116279069768
maze80_5_4.mz	80	5	4	100	0	0.24
maze80_5_5.mz	80	5	5	81	19	12.271604938271604
maze80_5_6.mz	80	5	6	81	19	11.308641975308642
maze80_5_7.mz	80	5	7	64	36	15.1875
maze80_5_8.mz	80	5	8	96	4	4.614583333333333
maze80_5_9.mz	80	5	9	85	15	15.352941176470589
maze80_10_0.mz	80	10	0	43	57	17.976744186046513
maze80_10_1.mz	80	10	1	96	4	6.28125
maze80_10_2.mz	80	10	2	99	1	1.4141414141414141
maze80_10_3.mz	80	10	3	97	3	4.0
maze80_10_4.mz	80	10	4	82	18	10.963414634146341
maze80_10_5.mz	80	10	5	100	0	2.37
maze80_10_6.mz	80	10	6	82	18	11.878048780487806
maze80_10_7.mz	80	10	7	100	0	0.58
maze80_10_8.mz	80	10	8	94	6	3.8085106382978724
maze80_10_9.mz	80	10	9	86	14	8.453488372093023
maze80_20_0.mz	80	20	0	100	0	1.62
maze80_20_1.mz	80	20	1	56	44	14.660714285714286
maze80_20_2.mz	80	20	2	100	0	2.0
maze80_20_3.mz	80	20	3	75	25	11.893333333333333
maze80_20_4.mz	80	20	4	98	2	2.642857142857143
maze80_20_5.mz	80	20	5	98	2	5.551020408163265
maze80_20_6.mz	80	20	6	98	2	5.5
maze80_20_7.mz	80	20	7	80	20	17.0375
maze80_20_8.mz	80	20	8	94	6	8.127659574468085
maze80_20_9.mz	80	20	9	35	65	19.485714285714284
maze90_5_0.mz	90	5	0	83	17	9.783132530120483
maze90_5_1.mz	90	5	1	16	84	17.5
maze90_5_2.mz	90	5	2	97	3	9.391752577319588
maze90_5_3.mz	90	5	3	86	14	12.906976744186046
maze90_5_4.mz	90	5	4	98	2	6.714285714285714
maze90_5_5.mz	90	5	5	96	4	11.1875
