Mode XML Parameters
ACO
maxNumIterations	100
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	20
GA
geneType	Simple
maxNumIterations	50
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.5
agImportance	0.5
Maze	dimension	col	#	#ok	#no	avg ok
maze60_10_8.mz	60	10	8	98	2	8.244897959183673
maze60_10_9.mz	60	10	9	100	0	3.52
maze60_15_0.mz	60	15	0	99	1	3.1818181818181817
maze60_15_1.mz	60	15	1	91	9	10.912087912087912
maze60_15_2.mz	60	15	2	100	0	1.1
maze60_15_3.mz	60	15	3	100	0	0.16
maze60_15_4.mz	60	15	4	100	0	0.54
maze60_15_5.mz	60	15	5	88	12	15.784090909090908
maze60_15_6.mz	60	15	6	93	7	19.06451612903226
maze60_15_7.mz	60	15	7	100	0	0.12
maze60_15_8.mz	60	15	8	98	2	3.795918367346939
maze60_15_9.mz	60	15	9	98	2	13.081632653061224
maze60_20_0.mz	60	20	0	100	0	0.26
maze60_20_1.mz	60	20	1	100	0	6.11
maze60_20_2.mz	60	20	2	96	4	16.697916666666668
maze60_20_3.mz	60	20	3	100	0	0.85
maze60_20_4.mz	60	20	4	100	0	4.9
maze60_20_5.mz	60	20	5	100	0	2.11
maze60_20_6.mz	60	20	6	91	9	17.45054945054945
maze60_20_7.mz	60	20	7	100	0	4.64
maze60_20_8.mz	60	20	8	98	2	11.448979591836734
maze60_20_9.mz	60	20	9	100	0	6.93
maze70_5_0.mz	70	5	0	100	0	5.3
maze70_5_1.mz	70	5	1	100	0	2.6
maze70_5_2.mz	70	5	2	100	0	0.91
maze70_5_3.mz	70	5	3	100	0	4.9
maze70_5_4.mz	70	5	4	100	0	1.32
maze70_5_5.mz	70	5	5	95	5	11.378947368421052
maze70_5_6.mz	70	5	6	100	0	0.06
maze70_5_7.mz	70	5	7	98	2	3.010204081632653
maze70_5_8.mz	70	5	8	99	1	6.212121212121212
maze70_5_9.mz	70	5	9	85	15	24.71764705882353
maze70_10_0.mz	70	10	0	100	0	5.12
maze70_10_1.mz	70	10	1	100	0	1.37
maze70_10_2.mz	70	10	2	99	1	3.393939393939394
maze70_10_3.mz	70	10	3	100	0	0.82
maze70_10_4.mz	70	10	4	96	4	11.645833333333334
maze70_10_5.mz	70	10	5	100	0	2.48
maze70_10_6.mz	70	10	6	100	0	0.04
maze70_10_7.mz	70	10	7	100	0	0.3
maze70_10_8.mz	70	10	8	100	0	0.82
maze70_10_9.mz	70	10	9	100	0	4.0
maze80_5_0.mz	80	5	0	100	0	4.17
maze80_5_1.mz	80	5	1	98	2	4.418367346938775
maze80_5_2.mz	80	5	2	99	1	5.303030303030303
maze80_5_3.mz	80	5	3	98	2	9.275510204081632
maze80_5_4.mz	80	5	4	100	0	0.34
maze80_5_5.mz	80	5	5	93	7	15.290322580645162
maze80_5_6.mz	80	5	6	95	5	12.210526315789474
maze80_5_7.mz	80	5	7	96	4	18.479166666666668
maze80_5_8.mz	80	5	8	100	0	5.11
maze80_5_9.mz	80	5	9	99	1	9.848484848484848
maze80_10_0.mz	80	10	0	54	46	24.333333333333332
maze80_10_1.mz	80	10	1	99	1	6.181818181818182
maze80_10_2.mz	80	10	2	100	0	0.37
maze80_10_3.mz	80	10	3	100	0	2.78
maze80_10_4.mz	80	10	4	97	3	11.762886597938145
maze80_10_5.mz	80	10	5	100	0	1.57
maze80_10_6.mz	80	10	6	90	10	22.144444444444446
maze80_10_7.mz	80	10	7	100	0	0.72
maze80_10_8.mz	80	10	8	100	0	3.55
maze80_10_9.mz	80	10	9	98	2	12.448979591836734
maze80_20_0.mz	80	20	0	99	1	4.616161616161616
maze80_20_1.mz	80	20	1	73	27	27.47945205479452
maze80_20_2.mz	80	20	2	100	0	1.1
maze80_20_3.mz	80	20	3	93	7	19.806451612903224
maze80_20_4.mz	80	20	4	100	0	2.95
maze80_20_5.mz	80	20	5	98	2	9.040816326530612
maze80_20_6.mz	80	20	6	99	1	10.282828282828282
maze80_20_7.mz	80	20	7	75	25	24.293333333333333
maze80_20_8.mz	80	20	8	100	0	9.86
maze80_20_9.mz	80	20	9	53	47	30.11320754716981
maze90_5_0.mz	90	5	0	94	6	16.819148936170212
maze90_5_1.mz	90	5	1	18	82	46.888888888888886
maze90_5_2.mz	90	5	2	95	5	9.16842105263158
maze90_5_3.mz	90	5	3	90	10	15.311111111111112
maze90_5_4.mz	90	5	4	100	0	5.06
maze90_5_5.mz	90	5	5	97	3	7.628865979381444
maze90_5_6.mz	90	5	6	100	0	1.37
maze90_5_7.mz	90	5	7	96	4	10.614583333333334
maze90_5_8.mz	90	5	8	99	1	8.8989898989899
maze90_5_9.mz	90	5	9	50	50	38.88
maze90_10_0.mz	90	10	0	100	0	1.77
maze90_10_1.mz	90	10	1	100	0	1.46
maze90_10_2.mz	90	10	2	100	0	1.54
maze90_10_3.mz	90	10	3	100	0	4.03
maze90_10_4.mz	90	10	4	100	0	4.12
maze90_10_5.mz	90	10	5	82	18	22.914634146341463
maze90_10_6.mz	90	10	6	100	0	0.4
maze90_10_7.mz	90	10	7	100	0	7.65
maze90_10_8.mz	90	10	8	99	1	8.555555555555555
maze90_10_9.mz	90	10	9	94	6	13.170212765957446
maze90_15_0.mz	90	15	0	100	0	0.68
maze90_15_1.mz	90	15	1	100	0	1.19
maze90_15_2.mz	90	15	2	100	0	1.0
maze90_15_3.mz	90	15	3	100	0	11.71
maze90_15_4.mz	90	15	4	100	0	2.57
maze90_15_5.mz	90	15	5	100	0	8.2
maze90_15_6.mz	90	15	6	39	61	39.282051282051285
maze90_15_7.mz	90	15	7	100	0	3.56
maze90_15_8.mz	90	15	8	100	0	0.38
maze90_15_9.mz	90	15	9	100	0	1.23
maze100_5_0.mz	100	5	0	90	10	20.81111111111111
maze100_5_1.mz	100	5	1	80	20	27.375
maze100_5_2.mz	100	5	2	45	55	30.822222222222223
maze100_5_3.mz	100	5	3	90	10	15.9
maze100_5_4.mz	100	5	4	98	2	6.448979591836735
maze100_5_5.mz	100	5	5	100	0	0.69
maze100_5_6.mz	100	5	6	99	1	9.616161616161616
maze100_5_7.mz	100	5	7	85	15	23.423529411764704
maze100_5_8.mz	100	5	8	99	1	7.383838383838384
maze100_5_9.mz	100	5	9	78	22	29.653846153846153
maze100_10_0.mz	100	10	0	100	0	7.06
maze100_10_1.mz	100	10	1	99	1	4.282828282828283
maze100_10_2.mz	100	10	2	91	9	13.846153846153847
maze100_10_3.mz	100	10	3	100	0	5.67
maze100_10_4.mz	100	10	4	100	0	0.28
maze100_10_5.mz	100	10	5	100	0	1.03
maze100_10_6.mz	100	10	6	100	0	1.89
maze100_10_7.mz	100	10	7	51	49	34.72549019607843
maze100_10_8.mz	100	10	8	100	0	1.71
maze100_10_9.mz	100	10	9	47	53	38.95744680851064
maze100_20_0.mz	100	20	0	100	0	0.59
maze100_20_1.mz	100	20	1	72	28	28.26388888888889
maze100_20_2.mz	100	20	2	89	11	18.280898876404493
maze100_20_3.mz	100	20	3	99	1	10.141414141414142
maze100_20_4.mz	100	20	4	92	8	17.532608695652176
maze100_20_5.mz	100	20	5	85	15	20.235294117647058
maze100_20_6.mz	100	20	6	88	12	21.65909090909091
maze100_20_7.mz	100	20	7	89	11	17.808988764044944
maze100_20_8.mz	100	20	8	100	0	0.09
maze100_20_9.mz	100	20	9	59	41	27.576271186440678
maze110_5_0.mz	110	5	0	69	31	32.88405797101449
maze110_5_1.mz	110	5	1	100	0	4.92
maze110_5_2.mz	110	5	2	76	24	26.263157894736842
maze110_5_3.mz	110	5	3	61	39	40.75409836065574
maze110_5_4.mz	110	5	4	86	14	19.906976744186046
maze110_5_5.mz	110	5	5	91	9	16.417582417582416
maze110_5_6.mz	110	5	6	99	1	5.03030303030303
maze110_5_7.mz	110	5	7	77	23	31.675324675324674
maze110_5_8.mz	110	5	8	92	8	14.945652173913043
maze110_5_9.mz	110	5	9	94	6	14.297872340425531
maze110_10_0.mz	110	10	0	100	0	0.16
maze110_10_1.mz	110	10	1	98	2	6.081632653061225
maze110_10_2.mz	110	10	2	100	0	2.98
maze110_10_3.mz	110	10	3	100	0	5.28
maze110_10_4.mz	110	10	4	12	88	41.75
maze110_10_5.mz	110	10	5	100	0	1.37
maze110_10_6.mz	110	10	6	100	0	6.92
maze110_10_7.mz	110	10	7	69	31	33.26086956521739
maze110_10_8.mz	110	10	8	96	4	12.416666666666666
maze110_10_9.mz	110	10	9	87	13	18.701149425287355
maze120_5_0.mz	120	5	0	2	98	64.5
maze120_5_1.mz	120	5	1	81	19	21.88888888888889
maze120_5_2.mz	120	5	2	41	59	36.170731707317074
maze120_5_3.mz	120	5	3	82	18	28.158536585365855
maze120_5_4.mz	120	5	4	100	0	3.02
maze120_5_5.mz	120	5	5	80	20	25.825
maze120_5_6.mz	120	5	6	95	5	13.25263157894737
maze120_5_7.mz	120	5	7	83	17	19.03614457831325
maze120_5_8.mz	120	5	8	98	2	12.877551020408163
maze120_5_9.mz	120	5	9	99	1	8.717171717171718
maze120_10_0.mz	120	10	0	100	0	1.28
maze120_10_1.mz	120	10	1	98	2	16.010204081632654
maze120_10_2.mz	120	10	2	99	1	5.414141414141414
maze120_10_3.mz	120	10	3	100	0	0.98
maze120_10_4.mz	120	10	4	100	0	4.85
maze120_10_5.mz	120	10	5	100	0	3.96
maze120_10_6.mz	120	10	6	99	1	5.434343434343434
maze120_10_7.mz	120	10	7	100	0	0.65
maze120_10_8.mz	120	10	8	69	31	26.202898550724637
