Mode XML Parameters
ACO
maxNumIterations	100
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	20
GA
geneType	LSystem
maxNumIterations	50
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.25
agImportance	0.75
Maze	dimension	col	#	#ok	#no	avg ok
maze60_15_1.mz	60	15	1	98	2	23.040816326530614
maze60_15_2.mz	60	15	2	100	0	1.7
maze60_15_3.mz	60	15	3	100	0	0.04
maze60_15_4.mz	60	15	4	100	0	0.13
maze60_15_5.mz	60	15	5	91	9	19.52747252747253
maze60_15_6.mz	60	15	6	95	5	23.94736842105263
maze60_15_7.mz	60	15	7	100	0	0.07
maze60_15_8.mz	60	15	8	100	0	1.79
maze60_15_9.mz	60	15	9	99	1	11.505050505050505
maze60_20_0.mz	60	20	0	100	0	0.41
maze60_20_1.mz	60	20	1	100	0	3.07
maze60_20_2.mz	60	20	2	100	0	13.11
maze60_20_3.mz	60	20	3	100	0	1.06
maze60_20_4.mz	60	20	4	100	0	0.23
maze60_20_5.mz	60	20	5	100	0	5.12
maze60_20_6.mz	60	20	6	98	2	10.306122448979592
maze60_20_7.mz	60	20	7	100	0	3.96
maze60_20_8.mz	60	20	8	100	0	0.63
maze60_20_9.mz	60	20	9	100	0	7.25
maze70_5_0.mz	70	5	0	100	0	3.26
maze70_5_1.mz	70	5	1	100	0	1.21
maze70_5_2.mz	70	5	2	100	0	0.17
maze70_5_3.mz	70	5	3	100	0	5.6
maze70_5_4.mz	70	5	4	100	0	2.08
maze70_5_5.mz	70	5	5	100	0	3.98
maze70_5_6.mz	70	5	6	100	0	0.18
maze70_5_7.mz	70	5	7	98	2	6.744897959183674
maze70_5_8.mz	70	5	8	100	0	6.58
maze70_5_9.mz	70	5	9	98	2	7.112244897959184
maze70_10_0.mz	70	10	0	99	1	4.333333333333333
maze70_10_1.mz	70	10	1	100	0	0.36
maze70_10_2.mz	70	10	2	100	0	6.86
maze70_10_3.mz	70	10	3	100	0	1.33
maze70_10_4.mz	70	10	4	100	0	6.33
maze70_10_5.mz	70	10	5	100	0	1.4
maze70_10_6.mz	70	10	6	100	0	0.02
maze70_10_7.mz	70	10	7	100	0	0.11
maze70_10_8.mz	70	10	8	100	0	0.43
maze70_10_9.mz	70	10	9	100	0	4.05
maze80_5_0.mz	80	5	0	99	1	8.646464646464647
maze80_5_1.mz	80	5	1	100	0	2.64
maze80_5_2.mz	80	5	2	96	4	8.854166666666666
maze80_5_3.mz	80	5	3	97	3	16.649484536082475
maze80_5_4.mz	80	5	4	100	0	0.03
maze80_5_5.mz	80	5	5	94	6	22.574468085106382
maze80_5_6.mz	80	5	6	92	8	17.08695652173913
maze80_5_7.mz	80	5	7	89	11	33.71910112359551
maze80_5_8.mz	80	5	8	100	0	5.65
maze80_5_9.mz	80	5	9	98	2	11.86734693877551
maze80_10_0.mz	80	10	0	82	18	22.317073170731707
maze80_10_1.mz	80	10	1	100	0	5.66
maze80_10_2.mz	80	10	2	100	0	1.01
maze80_10_3.mz	80	10	3	100	0	3.24
maze80_10_4.mz	80	10	4	95	5	18.326315789473686
maze80_10_5.mz	80	10	5	100	0	0.44
maze80_10_6.mz	80	10	6	99	1	6.252525252525253
maze80_10_7.mz	80	10	7	100	0	0.08
maze80_10_8.mz	80	10	8	100	0	2.68
maze80_10_9.mz	80	10	9	99	1	6.787878787878788
maze80_20_0.mz	80	20	0	100	0	0.23
maze80_20_1.mz	80	20	1	92	8	24.07608695652174
maze80_20_2.mz	80	20	2	100	0	0.56
maze80_20_3.mz	80	20	3	98	2	19.367346938775512
