Mode XML Parameters
ACO
maxNumIterations	50
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	15
GA
geneType	Simple
maxNumIterations	35
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.5
agImportance	0.5
Maze	dimension	col	#	#ok	#no	avg ok
maze60_10_6.mz	60	10	6	97	3	4.824742268041237
maze60_10_7.mz	60	10	7	100	0	1.36
maze60_10_8.mz	60	10	8	95	5	7.273684210526316
maze60_10_9.mz	60	10	9	100	0	2.68
maze60_15_0.mz	60	15	0	100	0	2.75
maze60_15_1.mz	60	15	1	83	17	8.698795180722891
maze60_15_2.mz	60	15	2	100	0	1.26
maze60_15_3.mz	60	15	3	100	0	0.44
maze60_15_4.mz	60	15	4	100	0	0.91
maze60_15_5.mz	60	15	5	76	24	12.789473684210526
maze60_15_6.mz	60	15	6	74	26	13.797297297297296
maze60_15_7.mz	60	15	7	100	0	0.06
maze60_15_8.mz	60	15	8	98	2	5.336734693877551
maze60_15_9.mz	60	15	9	91	9	8.89010989010989
maze60_20_0.mz	60	20	0	100	0	0.31
maze60_20_1.mz	60	20	1	99	1	4.3232323232323235
maze60_20_2.mz	60	20	2	73	27	12.36986301369863
maze60_20_3.mz	60	20	3	100	0	0.92
maze60_20_4.mz	60	20	4	94	6	6.9787234042553195
maze60_20_5.mz	60	20	5	99	1	3.4343434343434343
maze60_20_6.mz	60	20	6	79	21	12.341772151898734
maze60_20_7.mz	60	20	7	99	1	4.333333333333333
maze60_20_8.mz	60	20	8	83	17	7.566265060240964
maze60_20_9.mz	60	20	9	98	2	5.724489795918367
maze70_5_0.mz	70	5	0	98	2	6.520408163265306
maze70_5_1.mz	70	5	1	100	0	2.8
maze70_5_2.mz	70	5	2	100	0	1.82
maze70_5_3.mz	70	5	3	96	4	6.34375
maze70_5_4.mz	70	5	4	100	0	2.67
maze70_5_5.mz	70	5	5	88	12	9.534090909090908
maze70_5_6.mz	70	5	6	100	0	0.1
maze70_5_7.mz	70	5	7	99	1	4.797979797979798
maze70_5_8.mz	70	5	8	99	1	5.282828282828283
maze70_5_9.mz	70	5	9	63	37	15.365079365079366
maze70_10_0.mz	70	10	0	100	0	5.8
maze70_10_1.mz	70	10	1	100	0	1.87
maze70_10_2.mz	70	10	2	99	1	6.1313131313131315
maze70_10_3.mz	70	10	3	100	0	0.99
maze70_10_4.mz	70	10	4	87	13	11.632183908045977
maze70_10_5.mz	70	10	5	100	0	3.06
maze70_10_6.mz	70	10	6	100	0	0.11
maze70_10_7.mz	70	10	7	100	0	0.48
maze70_10_8.mz	70	10	8	100	0	0.69
maze70_10_9.mz	70	10	9	99	1	5.8686868686868685
maze80_5_0.mz	80	5	0	98	2	5.357142857142857
maze80_5_1.mz	80	5	1	97	3	4.525773195876289
maze80_5_2.mz	80	5	2	100	0	6.43
maze80_5_3.mz	80	5	3	93	7	8.548387096774194
maze80_5_4.mz	80	5	4	100	0	0.19
maze80_5_5.mz	80	5	5	89	11	11.382022471910112
maze80_5_6.mz	80	5	6	89	11	10.853932584269662
maze80_5_7.mz	80	5	7	78	22	12.474358974358974
maze80_5_8.mz	80	5	8	99	1	6.787878787878788
maze80_5_9.mz	80	5	9	87	13	10.517241379310345
maze80_10_0.mz	80	10	0	36	64	22.083333333333332
maze80_10_1.mz	80	10	1	97	3	5.525773195876289
maze80_10_2.mz	80	10	2	100	0	1.24
maze80_10_3.mz	80	10	3	99	1	3.5454545454545454
maze80_10_4.mz	80	10	4	88	12	10.045454545454545
maze80_10_5.mz	80	10	5	100	0	2.15
maze80_10_6.mz	80	10	6	73	27	15.287671232876713
maze80_10_7.mz	80	10	7	100	0	1.0
maze80_10_8.mz	80	10	8	98	2	4.030612244897959
maze80_10_9.mz	80	10	9	92	8	9.152173913043478
maze80_20_0.mz	80	20	0	100	0	4.15
maze80_20_1.mz	80	20	1	61	39	14.459016393442623
maze80_20_2.mz	80	20	2	99	1	1.8282828282828283
maze80_20_3.mz	80	20	3	81	19	12.654320987654321
maze80_20_4.mz	80	20	4	100	0	3.47
maze80_20_5.mz	80	20	5	95	5	7.157894736842105
maze80_20_6.mz	80	20	6	86	14	9.965116279069768
maze80_20_7.mz	80	20	7	60	40	18.15
maze80_20_8.mz	80	20	8	90	10	8.555555555555555
maze80_20_9.mz	80	20	9	33	67	14.878787878787879
maze90_5_0.mz	90	5	0	77	23	13.402597402597403
maze90_5_1.mz	90	5	1	5	95	24.8
maze90_5_2.mz	90	5	2	95	5	7.389473684210526
maze90_5_3.mz	90	5	3	82	18	11.74390243902439
maze90_5_4.mz	90	5	4	99	1	4.232323232323233
maze90_5_5.mz	90	5	5	96	4	9.041666666666666
maze90_5_6.mz	90	5	6	100	0	2.65
maze90_5_7.mz	90	5	7	90	10	11.144444444444444
maze90_5_8.mz	90	5	8	84	16	6.690476190476191
maze90_5_9.mz	90	5	9	40	60	26.9
maze90_10_0.mz	90	10	0	100	0	2.07
maze90_10_1.mz	90	10	1	100	0	1.94
maze90_10_2.mz	90	10	2	100	0	2.97
maze90_10_3.mz	90	10	3	100	0	5.25
maze90_10_4.mz	90	10	4	100	0	5.46
maze90_10_5.mz	90	10	5	71	29	17.43661971830986
maze90_10_6.mz	90	10	6	100	0	0.73
maze90_10_7.mz	90	10	7	96	4	7.989583333333333
maze90_10_8.mz	90	10	8	93	7	6.946236559139785
maze90_10_9.mz	90	10	9	83	17	14.91566265060241
maze90_15_0.mz	90	15	0	100	0	1.06
maze90_15_1.mz	90	15	1	100	0	2.26
maze90_15_2.mz	90	15	2	100	0	1.62
maze90_15_3.mz	90	15	3	94	6	6.9787234042553195
maze90_15_4.mz	90	15	4	99	1	2.7474747474747474
maze90_15_5.mz	90	15	5	93	7	6.086021505376344
maze90_15_6.mz	90	15	6	23	77	22.17391304347826
maze90_15_7.mz	90	15	7	100	0	3.75
maze90_15_8.mz	90	15	8	100	0	0.69
maze90_15_9.mz	90	15	9	100	0	1.73
maze100_5_0.mz	100	5	0	73	27	13.219178082191782
maze100_5_1.mz	100	5	1	56	44	17.178571428571427
maze100_5_2.mz	100	5	2	18	82	16.22222222222222
maze100_5_3.mz	100	5	3	83	17	13.08433734939759
maze100_5_4.mz	100	5	4	84	16	9.678571428571429
maze100_5_5.mz	100	5	5	100	0	0.98
maze100_5_6.mz	100	5	6	95	5	7.852631578947369
maze100_5_7.mz	100	5	7	68	32	17.0
maze100_5_8.mz	100	5	8	93	7	7.67741935483871
maze100_5_9.mz	100	5	9	52	48	19.596153846153847
maze100_10_0.mz	100	10	0	98	2	7.13265306122449
maze100_10_1.mz	100	10	1	98	2	5.479591836734694
maze100_10_2.mz	100	10	2	78	22	14.73076923076923
maze100_10_3.mz	100	10	3	98	2	5.704081632653061
maze100_10_4.mz	100	10	4	100	0	0.23
maze100_10_5.mz	100	10	5	100	0	1.19
maze100_10_6.mz	100	10	6	100	0	1.89
maze100_10_7.mz	100	10	7	27	73	23.77777777777778
maze100_10_8.mz	100	10	8	100	0	1.38
maze100_10_9.mz	100	10	9	35	65	20.02857142857143
maze100_20_0.mz	100	20	0	100	0	1.19
maze100_20_1.mz	100	20	1	56	44	16.446428571428573
maze100_20_2.mz	100	20	2	76	24	13.210526315789474
maze100_20_3.mz	100	20	3	94	6	6.627659574468085
maze100_20_4.mz	100	20	4	84	16	12.297619047619047
maze100_20_5.mz	100	20	5	74	26	16.43243243243243
maze100_20_6.mz	100	20	6	72	28	13.930555555555555
maze100_20_7.mz	100	20	7	85	15	12.847058823529412
maze100_20_8.mz	100	20	8	100	0	0.14
maze100_20_9.mz	100	20	9	49	51	17.306122448979593
maze110_5_0.mz	110	5	0	62	38	21.983870967741936
maze110_5_1.mz	110	5	1	97	3	4.185567010309279
maze110_5_2.mz	110	5	2	52	48	19.21153846153846
maze110_5_3.mz	110	5	3	43	57	19.953488372093023
maze110_5_4.mz	110	5	4	77	23	16.68831168831169
maze110_5_5.mz	110	5	5	77	23	12.025974025974026
maze110_5_6.mz	110	5	6	98	2	5.357142857142857
maze110_5_7.mz	110	5	7	37	63	18.81081081081081
maze110_5_8.mz	110	5	8	70	30	14.6
maze110_5_9.mz	110	5	9	85	15	10.31764705882353
maze110_10_0.mz	110	10	0	100	0	0.3
maze110_10_1.mz	110	10	1	98	2	6.948979591836735
maze110_10_2.mz	110	10	2	100	0	3.07
maze110_10_3.mz	110	10	3	97	3	4.329896907216495
maze110_10_4.mz	110	10	4	6	94	24.166666666666668
maze110_10_5.mz	110	10	5	100	0	2.07
maze110_10_6.mz	110	10	6	93	7	8.946236559139784
maze110_10_7.mz	110	10	7	59	41	16.10169491525424
maze110_10_8.mz	110	10	8	92	8	10.184782608695652
maze110_10_9.mz	110	10	9	72	28	12.847222222222221
maze120_5_0.mz	120	5	0	1	99	19.0
maze120_5_1.mz	120	5	1	62	38	15.935483870967742
maze120_5_2.mz	120	5	2	25	75	15.12
maze120_5_3.mz	120	5	3	52	48	16.98076923076923
maze120_5_4.mz	120	5	4	97	3	4.690721649484536
maze120_5_5.mz	120	5	5	48	52	14.583333333333334
maze120_5_6.mz	120	5	6	76	24	11.223684210526315
maze120_5_7.mz	120	5	7	74	26	15.594594594594595
maze120_5_8.mz	120	5	8	90	10	12.28888888888889
maze120_5_9.mz	120	5	9	94	6	8.414893617021276
maze120_10_0.mz	120	10	0	100	0	1.89
maze120_10_1.mz	120	10	1	88	12	9.420454545454545
maze120_10_2.mz	120	10	2	99	1	5.515151515151516
maze120_10_3.mz	120	10	3	100	0	1.94
maze120_10_4.mz	120	10	4	96	4	4.291666666666667
maze120_10_5.mz	120	10	5	99	1	3.0202020202020203
maze120_10_6.mz	120	10	6	96	4	5.010416666666667
maze120_10_7.mz	120	10	7	100	0	1.06
maze120_10_8.mz	120	10	8	49	51	15.489795918367347
maze120_10_9.mz	120	10	9	96	4	4.989583333333333
maze120_15_0.mz	120	15	0	98	2	3.2857142857142856
maze120_15_1.mz	120	15	1	84	16	14.357142857142858
maze120_15_2.mz	120	15	2	86	14	8.255813953488373
maze120_15_3.mz	120	15	3	100	0	1.77
maze120_15_4.mz	120	15	4	100	0	0.97
maze120_15_5.mz	120	15	5	80	20	11.3625
maze120_15_6.mz	120	15	6	93	7	8.290322580645162
maze120_15_7.mz	120	15	7	88	12	6.8522727272727275
maze120_15_8.mz	120	15	8	72	28	11.25
maze120_15_9.mz	120	15	9	32	68	20.03125
maze120_20_0.mz	120	20	0	94	6	9.117021276595745
maze120_20_1.mz	120	20	1	100	0	2.55
maze120_20_2.mz	120	20	2	100	0	4.27
maze120_20_3.mz	120	20	3	89	11	12.426966292134832
maze120_20_4.mz	120	20	4	52	48	14.307692307692308
maze120_20_5.mz	120	20	5	94	6	7.638297872340425
maze120_20_6.mz	120	20	6	54	46	14.907407407407407
maze120_20_7.mz	120	20	7	42	58	21.666666666666668
maze120_20_8.mz	120	20	8	90	10	11.311111111111112
maze120_20_9.mz	120	20	9	90	10	7.4222222222222225
maze130_5_0.mz	130	5	0	80	20	14.425
maze130_5_1.mz	130	5	1	100	0	1.56
maze130_5_2.mz	130	5	2	93	7	10.172043010752688
maze130_5_3.mz	130	5	3	28	72	22.0
maze130_5_4.mz	130	5	4	94	6	9.75531914893617
maze130_5_5.mz	130	5	5	97	3	5.639175257731959
maze130_5_6.mz	130	5	6	95	5	7.347368421052631
maze130_5_7.mz	130	5	7	100	0	3.71
maze130_5_8.mz	130	5	8	32	68	17.90625
maze130_5_9.mz	130	5	9	31	69	20.419354838709676
maze130_10_0.mz	130	10	0	95	5	6.957894736842105
maze130_10_1.mz	130	10	1	97	3	5.639175257731959
maze130_10_2.mz	130	10	2	88	12	8.818181818181818
maze130_10_3.mz	130	10	3	100	0	3.37
maze130_10_4.mz	130	10	4	100	0	1.65
maze130_10_5.mz	130	10	5	98	2	5.938775510204081
maze130_10_6.mz	130	10	6	80	20	13.3625
maze130_10_7.mz	130	10	7	99	1	3.3838383838383836
maze130_10_8.mz	130	10	8	84	16	11.380952380952381
maze130_10_9.mz	130	10	9	99	1	5.111111111111111
maze140_5_0.mz	140	5	0	40	60	21.675
maze140_5_1.mz	140	5	1	75	25	10.573333333333334
maze140_5_2.mz	140	5	2	80	20	12.325
maze140_5_3.mz	140	5	3	46	54	20.456521739130434
maze140_5_4.mz	140	5	4	83	17	12.060240963855422
maze140_5_5.mz	140	5	5	75	25	12.52
maze140_5_6.mz	140	5	6	56	44	16.285714285714285
maze140_5_7.mz	140	5	7	24	76	19.875
maze140_5_8.mz	140	5	8	78	22	15.833333333333334
maze140_5_9.mz	140	5	9	74	26	12.81081081081081
maze140_10_0.mz	140	10	0	19	81	23.842105263157894
maze140_10_1.mz	140	10	1	100	0	1.03
maze140_10_2.mz	140	10	2	99	1	2.4646464646464645
maze140_10_3.mz	140	10	3	58	42	16.56896551724138
maze140_10_4.mz	140	10	4	26	74	14.961538461538462
maze140_10_5.mz	140	10	5	100	0	2.67
maze140_10_6.mz	140	10	6	37	63	17.7027027027027
maze140_10_7.mz	140	10	7	100	0	1.74
maze140_10_8.mz	140	10	8	98	2	4.438775510204081
maze140_10_9.mz	140	10	9	93	7	7.21505376344086
maze140_20_0.mz	140	20	0	77	23	14.168831168831169
maze140_20_1.mz	140	20	1	31	69	21.451612903225808
maze140_20_2.mz	140	20	2	56	44	17.714285714285715
maze140_20_3.mz	140	20	3	48	52	19.395833333333332
maze140_20_4.mz	140	20	4	79	21	11.30379746835443
maze140_20_5.mz	140	20	5	100	0	4.05
maze140_20_6.mz	140	20	6	66	34	18.242424242424242
maze140_20_7.mz	140	20	7	79	21	15.316455696202532
maze140_20_8.mz	140	20	8	42	58	19.523809523809526
maze140_20_9.mz	140	20	9	81	19	12.444444444444445
maze150_5_0.mz	150	5	0	45	55	19.733333333333334
maze150_5_1.mz	150	5	1	88	12	11.784090909090908
maze150_5_2.mz	150	5	2	14	86	26.357142857142858
maze150_5_3.mz	150	5	3	64	36	15.828125
maze150_5_4.mz	150	5	4	3	97	3.6666666666666665
maze150_5_5.mz	150	5	5	90	10	10.088888888888889
maze150_5_6.mz	150	5	6	30	70	22.7
maze150_5_7.mz	150	5	7	2	98	21.5
maze150_5_8.mz	150	5	8	71	29	11.380281690140846
maze150_5_9.mz	150	5	9	24	76	21.041666666666668
maze150_10_0.mz	150	10	0	78	22	10.08974358974359
maze150_10_1.mz	150	10	1	22	78	15.318181818181818
maze150_10_2.mz	150	10	2	31	69	22.70967741935484
maze150_10_3.mz	150	10	3	100	0	3.97
maze150_10_4.mz	150	10	4	75	25	18.573333333333334
maze150_10_5.mz	150	10	5	100	0	3.29
maze150_10_6.mz	150	10	6	95	5	8.736842105263158
maze150_10_7.mz	150	10	7	55	45	18.945454545454545
maze150_10_8.mz	150	10	8	55	45	13.818181818181818
maze150_10_9.mz	150	10	9	69	31	17.028985507246375
maze150_15_0.mz	150	15	0	25	75	23.12
maze150_15_1.mz	150	15	1	96	4	6.947916666666667
maze150_15_2.mz	150	15	2	88	12	9.738636363636363
maze150_15_3.mz	150	15	3	84	16	12.214285714285714
maze150_15_4.mz	150	15	4	86	14	13.465116279069768
maze150_15_5.mz	150	15	5	100	0	2.58
maze150_15_6.mz	150	15	6	97	3	6.082474226804123
maze150_15_7.mz	150	15	7	99	1	6.222222222222222
maze150_15_8.mz	150	15	8	31	69	21.483870967741936
maze150_15_9.mz	150	15	9	98	2	3.8469387755102042
maze160_5_0.mz	160	5	0	56	44	15.714285714285714
maze160_5_1.mz	160	5	1	54	46	15.814814814814815
maze160_5_2.mz	160	5	2	24	76	19.583333333333332
maze160_5_3.mz	160	5	3	22	78	19.863636363636363
maze160_5_4.mz	160	5	4	46	54	17.282608695652176
maze160_5_5.mz	160	5	5	65	35	14.338461538461539
