Mode XML Parameters
ACO
maxNumIterations	50
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	15
GA
geneType	LSystem
maxNumIterations	35
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.75
agImportance	0.25
Maze	dimension	col	#	#ok	#no	avg ok
maze60_10_1.mz	60	10	1	84	16	7.511904761904762
maze60_10_2.mz	60	10	2	95	5	3.7578947368421054
maze60_10_3.mz	60	10	3	95	5	4.71578947368421
maze60_10_4.mz	60	10	4	99	1	0.6666666666666666
maze60_10_5.mz	60	10	5	90	10	6.266666666666667
maze60_10_6.mz	60	10	6	89	11	7.382022471910112
maze60_10_7.mz	60	10	7	99	1	4.191919191919192
maze60_10_8.mz	60	10	8	80	20	8.9125
maze60_10_9.mz	60	10	9	96	4	6.0
maze60_15_0.mz	60	15	0	93	7	4.440860215053763
maze60_15_1.mz	60	15	1	74	26	10.932432432432432
maze60_15_2.mz	60	15	2	99	1	2.95959595959596
maze60_15_3.mz	60	15	3	100	0	0.65
maze60_15_4.mz	60	15	4	100	0	2.0
maze60_15_5.mz	60	15	5	52	48	14.384615384615385
maze60_15_6.mz	60	15	6	74	26	11.702702702702704
maze60_15_7.mz	60	15	7	100	0	0.52
maze60_15_8.mz	60	15	8	89	11	6.865168539325842
maze60_15_9.mz	60	15	9	69	31	10.405797101449275
maze60_20_0.mz	60	20	0	100	0	1.41
maze60_20_1.mz	60	20	1	84	16	6.559523809523809
maze60_20_2.mz	60	20	2	70	30	13.257142857142858
maze60_20_3.mz	60	20	3	99	1	3.404040404040404
maze60_20_4.mz	60	20	4	91	9	8.54945054945055
maze60_20_5.mz	60	20	5	93	7	5.376344086021505
maze60_20_6.mz	60	20	6	65	35	16.353846153846153
maze60_20_7.mz	60	20	7	93	7	6.387096774193548
maze60_20_8.mz	60	20	8	79	21	11.759493670886076
maze60_20_9.mz	60	20	9	91	9	8.802197802197803
maze70_5_0.mz	70	5	0	88	12	7.25
maze70_5_1.mz	70	5	1	95	5	4.926315789473684
maze70_5_2.mz	70	5	2	99	1	4.141414141414141
maze70_5_3.mz	70	5	3	91	9	6.824175824175824
maze70_5_4.mz	70	5	4	97	3	4.134020618556701
maze70_5_5.mz	70	5	5	74	26	8.716216216216216
maze70_5_6.mz	70	5	6	100	0	0.61
maze70_5_7.mz	70	5	7	91	9	6.153846153846154
maze70_5_8.mz	70	5	8	88	12	6.75
maze70_5_9.mz	70	5	9	53	47	19.264150943396228
maze70_10_0.mz	70	10	0	85	15	9.729411764705882
maze70_10_1.mz	70	10	1	99	1	3.101010101010101
maze70_10_2.mz	70	10	2	90	10	6.711111111111111
maze70_10_3.mz	70	10	3	100	0	2.2
maze70_10_4.mz	70	10	4	80	20	9.9625
maze70_10_5.mz	70	10	5	97	3	7.061855670103093
maze70_10_6.mz	70	10	6	100	0	0.23
maze70_10_7.mz	70	10	7	100	0	1.01
maze70_10_8.mz	70	10	8	100	0	1.74
maze70_10_9.mz	70	10	9	87	13	8.701149425287356
maze80_5_0.mz	80	5	0	91	9	6.65934065934066
maze80_5_1.mz	80	5	1	89	11	6.48314606741573
maze80_5_2.mz	80	5	2	90	10	8.066666666666666
maze80_5_3.mz	80	5	3	71	29	11.788732394366198
maze80_5_4.mz	80	5	4	100	0	1.53
maze80_5_5.mz	80	5	5	70	30	11.528571428571428
maze80_5_6.mz	80	5	6	78	22	11.461538461538462
maze80_5_7.mz	80	5	7	61	39	12.737704918032787
maze80_5_8.mz	80	5	8	86	14	7.395348837209302
maze80_5_9.mz	80	5	9	77	23	11.077922077922079
maze80_10_0.mz	80	10	0	22	78	21.681818181818183
maze80_10_1.mz	80	10	1	85	15	6.270588235294118
maze80_10_2.mz	80	10	2	99	1	1.1717171717171717
maze80_10_3.mz	80	10	3	95	5	4.231578947368421
maze80_10_4.mz	80	10	4	79	21	10.734177215189874
maze80_10_5.mz	80	10	5	99	1	3.303030303030303
maze80_10_6.mz	80	10	6	51	49	18.137254901960784
maze80_10_7.mz	80	10	7	98	2	1.183673469387755
maze80_10_8.mz	80	10	8	92	8	6.554347826086956
maze80_10_9.mz	80	10	9	79	21	8.316455696202532
maze80_20_0.mz	80	20	0	96	4	6.697916666666667
maze80_20_1.mz	80	20	1	47	53	15.404255319148936
maze80_20_2.mz	80	20	2	98	2	3.4183673469387754
maze80_20_3.mz	80	20	3	58	42	10.327586206896552
maze80_20_4.mz	80	20	4	94	6	4.287234042553192
maze80_20_5.mz	80	20	5	80	20	8.65
maze80_20_6.mz	80	20	6	75	25	9.0
maze80_20_7.mz	80	20	7	52	48	15.384615384615385
maze80_20_8.mz	80	20	8	76	24	10.078947368421053
maze80_20_9.mz	80	20	9	21	79	20.571428571428573
maze90_5_0.mz	90	5	0	65	35	9.584615384615384
maze90_5_1.mz	90	5	1	12	88	16.083333333333332
maze90_5_2.mz	90	5	2	82	18	9.0
maze90_5_3.mz	90	5	3	57	43	10.333333333333334
maze90_5_4.mz	90	5	4	92	8	7.4021739130434785
maze90_5_5.mz	90	5	5	90	10	10.066666666666666
maze90_5_6.mz	90	5	6	97	3	3.0309278350515463
maze90_5_7.mz	90	5	7	70	30	13.814285714285715
maze90_5_8.mz	90	5	8	80	20	9.1
maze90_5_9.mz	90	5	9	20	80	19.1
maze90_10_0.mz	90	10	0	99	1	4.808080808080808
maze90_10_1.mz	90	10	1	97	3	2.329896907216495
maze90_10_2.mz	90	10	2	99	1	2.595959595959596
maze90_10_3.mz	90	10	3	90	10	8.38888888888889
maze90_10_4.mz	90	10	4	88	12	7.363636363636363
maze90_10_5.mz	90	10	5	50	50	10.52
maze90_10_6.mz	90	10	6	100	0	3.29
maze90_10_7.mz	90	10	7	75	25	11.693333333333333
maze90_10_8.mz	90	10	8	88	12	12.522727272727273
maze90_10_9.mz	90	10	9	59	41	11.627118644067796
maze90_15_0.mz	90	15	0	100	0	2.4
maze90_15_1.mz	90	15	1	99	1	2.8686868686868685
maze90_15_2.mz	90	15	2	93	7	2.946236559139785
maze90_15_3.mz	90	15	3	82	18	8.878048780487806
maze90_15_4.mz	90	15	4	94	6	5.319148936170213
maze90_15_5.mz	90	15	5	92	8	5.6521739130434785
maze90_15_6.mz	90	15	6	16	84	20.125
maze90_15_7.mz	90	15	7	97	3	3.9381443298969074
maze90_15_8.mz	90	15	8	100	0	2.32
maze90_15_9.mz	90	15	9	96	4	2.9375
maze100_5_0.mz	100	5	0	59	41	16.35593220338983
maze100_5_1.mz	100	5	1	44	56	16.977272727272727
maze100_5_2.mz	100	5	2	21	79	18.666666666666668
maze100_5_3.mz	100	5	3	67	33	14.059701492537313
maze100_5_4.mz	100	5	4	85	15	11.929411764705883
maze100_5_5.mz	100	5	5	100	0	2.34
maze100_5_6.mz	100	5	6	77	23	6.896103896103896
maze100_5_7.mz	100	5	7	44	56	13.931818181818182
maze100_5_8.mz	100	5	8	82	18	9.146341463414634
maze100_5_9.mz	100	5	9	40	60	20.175
maze100_10_0.mz	100	10	0	86	14	8.372093023255815
maze100_10_1.mz	100	10	1	90	10	7.166666666666667
maze100_10_2.mz	100	10	2	62	38	11.209677419354838
maze100_10_3.mz	100	10	3	86	14	6.569767441860465
maze100_10_4.mz	100	10	4	100	0	0.94
maze100_10_5.mz	100	10	5	99	1	4.141414141414141
maze100_10_6.mz	100	10	6	97	3	2.2061855670103094
maze100_10_7.mz	100	10	7	20	80	16.55
maze100_10_8.mz	100	10	8	98	2	5.326530612244898
maze100_10_9.mz	100	10	9	18	82	19.055555555555557
maze100_20_0.mz	100	20	0	100	0	1.68
maze100_20_1.mz	100	20	1	34	66	16.441176470588236
maze100_20_2.mz	100	20	2	64	36	11.640625
maze100_20_3.mz	100	20	3	85	15	10.094117647058823
maze100_20_4.mz	100	20	4	70	30	14.128571428571428
maze100_20_5.mz	100	20	5	50	50	17.58
maze100_20_6.mz	100	20	6	51	49	13.215686274509803
maze100_20_7.mz	100	20	7	64	36	13.15625
maze100_20_8.mz	100	20	8	100	0	0.39
maze100_20_9.mz	100	20	9	30	70	16.4
maze110_5_0.mz	110	5	0	44	56	18.15909090909091
maze110_5_1.mz	110	5	1	89	11	6.98876404494382
maze110_5_2.mz	110	5	2	45	55	17.533333333333335
maze110_5_3.mz	110	5	3	31	69	18.35483870967742
maze110_5_4.mz	110	5	4	51	49	12.117647058823529
maze110_5_5.mz	110	5	5	57	43	13.491228070175438
maze110_5_6.mz	110	5	6	89	11	5.910112359550562
maze110_5_7.mz	110	5	7	45	55	17.511111111111113
maze110_5_8.mz	110	5	8	61	39	11.459016393442623
maze110_5_9.mz	110	5	9	76	24	10.763157894736842
maze110_10_0.mz	110	10	0	100	0	1.67
maze110_10_1.mz	110	10	1	84	16	9.535714285714286
maze110_10_2.mz	110	10	2	93	7	4.440860215053763
maze110_10_3.mz	110	10	3	91	9	5.747252747252747
maze110_10_4.mz	110	10	4	3	97	11.333333333333334
maze110_10_5.mz	110	10	5	99	1	2.9292929292929295
maze110_10_6.mz	110	10	6	73	27	9.013698630136986
maze110_10_7.mz	110	10	7	38	62	13.473684210526315
maze110_10_8.mz	110	10	8	79	21	13.582278481012658
maze110_10_9.mz	110	10	9	57	43	15.719298245614034
maze120_5_0.mz	120	5	0	3	97	11.333333333333334
maze120_5_1.mz	120	5	1	46	54	13.5
maze120_5_2.mz	120	5	2	17	83	25.176470588235293
maze120_5_3.mz	120	5	3	48	52	16.895833333333332
maze120_5_4.mz	120	5	4	88	12	6.784090909090909
maze120_5_5.mz	120	5	5	43	57	17.651162790697676
maze120_5_6.mz	120	5	6	70	30	13.0
maze120_5_7.mz	120	5	7	52	48	16.673076923076923
maze120_5_8.mz	120	5	8	76	24	13.328947368421053
maze120_5_9.mz	120	5	9	82	18	10.268292682926829
maze120_10_0.mz	120	10	0	99	1	3.2525252525252526
maze120_10_1.mz	120	10	1	86	14	8.616279069767442
maze120_10_2.mz	120	10	2	89	11	6.662921348314606
maze120_10_3.mz	120	10	3	98	2	3.7448979591836733
maze120_10_4.mz	120	10	4	92	8	7.456521739130435
maze120_10_5.mz	120	10	5	97	3	3.1443298969072164
maze120_10_6.mz	120	10	6	85	15	7.047058823529412
maze120_10_7.mz	120	10	7	99	1	1.494949494949495
maze120_10_8.mz	120	10	8	31	69	19.548387096774192
maze120_10_9.mz	120	10	9	95	5	6.368421052631579
maze120_15_0.mz	120	15	0	93	7	4.473118279569892
maze120_15_1.mz	120	15	1	60	40	10.5
maze120_15_2.mz	120	15	2	72	28	10.277777777777779
maze120_15_3.mz	120	15	3	98	2	2.2142857142857144
maze120_15_4.mz	120	15	4	99	1	1.2626262626262625
maze120_15_5.mz	120	15	5	63	37	14.11111111111111
maze120_15_6.mz	120	15	6	86	14	9.244186046511627
maze120_15_7.mz	120	15	7	73	27	13.945205479452055
maze120_15_8.mz	120	15	8	56	44	10.446428571428571
maze120_15_9.mz	120	15	9	28	72	23.214285714285715
maze120_20_0.mz	120	20	0	79	21	10.835443037974683
maze120_20_1.mz	120	20	1	94	6	5.031914893617022
maze120_20_2.mz	120	20	2	97	3	4.948453608247423
maze120_20_3.mz	120	20	3	75	25	10.053333333333333
