Mode XML Parameters
ACO
maxNumIterations	100
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	20
GA
geneType	Simple
maxNumIterations	50
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.75
agImportance	0.25
Maze	dimension	col	#	#ok	#no	avg ok
maze60_10_4.mz	60	10	4	100	0	0.8
maze60_10_5.mz	60	10	5	97	3	6.989690721649485
maze60_10_6.mz	60	10	6	97	3	7.041237113402062
maze60_10_7.mz	60	10	7	99	1	2.5757575757575757
maze60_10_8.mz	60	10	8	93	7	9.978494623655914
maze60_10_9.mz	60	10	9	95	5	3.789473684210526
maze60_15_0.mz	60	15	0	98	2	6.112244897959184
maze60_15_1.mz	60	15	1	91	9	16.13186813186813
maze60_15_2.mz	60	15	2	100	0	4.07
maze60_15_3.mz	60	15	3	100	0	0.66
maze60_15_4.mz	60	15	4	99	1	1.3535353535353536
maze60_15_5.mz	60	15	5	75	25	15.48
maze60_15_6.mz	60	15	6	79	21	20.265822784810126
maze60_15_7.mz	60	15	7	100	0	0.18
maze60_15_8.mz	60	15	8	96	4	6.270833333333333
maze60_15_9.mz	60	15	9	89	11	19.078651685393258
maze60_20_0.mz	60	20	0	100	0	0.46
maze60_20_1.mz	60	20	1	89	11	10.359550561797754
maze60_20_2.mz	60	20	2	72	28	16.875
maze60_20_3.mz	60	20	3	100	0	1.85
maze60_20_4.mz	60	20	4	88	12	10.556818181818182
maze60_20_5.mz	60	20	5	97	3	4.22680412371134
maze60_20_6.mz	60	20	6	74	26	17.60810810810811
maze60_20_7.mz	60	20	7	97	3	6.649484536082475
maze60_20_8.mz	60	20	8	85	15	20.11764705882353
maze60_20_9.mz	60	20	9	94	6	9.5
maze70_5_0.mz	70	5	0	91	9	8.406593406593407
maze70_5_1.mz	70	5	1	100	0	6.5
maze70_5_2.mz	70	5	2	99	1	1.7474747474747474
maze70_5_3.mz	70	5	3	94	6	9.202127659574469
maze70_5_4.mz	70	5	4	100	0	4.12
maze70_5_5.mz	70	5	5	84	16	14.392857142857142
maze70_5_6.mz	70	5	6	100	0	0.25
maze70_5_7.mz	70	5	7	99	1	7.161616161616162
maze70_5_8.mz	70	5	8	94	6	6.148936170212766
maze70_5_9.mz	70	5	9	56	44	28.607142857142858
maze70_10_0.mz	70	10	0	91	9	10.857142857142858
maze70_10_1.mz	70	10	1	99	1	2.3535353535353534
maze70_10_2.mz	70	10	2	96	4	8.875
maze70_10_3.mz	70	10	3	100	0	2.21
maze70_10_4.mz	70	10	4	86	14	18.41860465116279
maze70_10_5.mz	70	10	5	99	1	6.393939393939394
maze70_10_6.mz	70	10	6	100	0	0.44
maze70_10_7.mz	70	10	7	100	0	0.57
maze70_10_8.mz	70	10	8	100	0	1.72
maze70_10_9.mz	70	10	9	96	4	6.427083333333333
maze80_5_0.mz	80	5	0	92	8	6.663043478260869
maze80_5_1.mz	80	5	1	96	4	8.635416666666666
maze80_5_2.mz	80	5	2	99	1	8.333333333333334
maze80_5_3.mz	80	5	3	85	15	14.223529411764705
maze80_5_4.mz	80	5	4	100	0	0.92
maze80_5_5.mz	80	5	5	88	12	15.75
maze80_5_6.mz	80	5	6	91	9	18.78021978021978
maze80_5_7.mz	80	5	7	81	19	19.160493827160494
maze80_5_8.mz	80	5	8	96	4	7.59375
maze80_5_9.mz	80	5	9	86	14	20.36046511627907
maze80_10_0.mz	80	10	0	46	54	31.347826086956523
maze80_10_1.mz	80	10	1	98	2	8.673469387755102
maze80_10_2.mz	80	10	2	100	0	1.14
maze80_10_3.mz	80	10	3	99	1	5.94949494949495
maze80_10_4.mz	80	10	4	86	14	16.313953488372093
maze80_10_5.mz	80	10	5	98	2	3.0408163265306123
maze80_10_6.mz	80	10	6	71	29	25.633802816901408
maze80_10_7.mz	80	10	7	100	0	1.11
maze80_10_8.mz	80	10	8	98	2	4.36734693877551
maze80_10_9.mz	80	10	9	92	8	10.869565217391305
maze80_20_0.mz	80	20	0	97	3	6.371134020618556
maze80_20_1.mz	80	20	1	52	48	28.673076923076923
maze80_20_2.mz	80	20	2	100	0	3.13
maze80_20_3.mz	80	20	3	81	19	16.19753086419753
maze80_20_4.mz	80	20	4	99	1	8.02020202020202
maze80_20_5.mz	80	20	5	90	10	13.444444444444445
maze80_20_6.mz	80	20	6	81	19	17.962962962962962
maze80_20_7.mz	80	20	7	60	40	31.066666666666666
